a, 462
b, 97
c, 152
d, 326
e, 877
f, 127
g, 138
h, 211
i, 447
j, 21
k, 40
l, 291
m, 198
n, 492
o, 436
p, 158
q, 12
r, 416
s, 433
t, 455
u, 194
v, 65
w, 105
x, 21
y, 160
z, 1
