a, 442
b, 85
c, 162
d, 311
e, 882
f, 141
g, 148
h, 196
i, 444
j, 15
k, 25
l, 280
m, 147
n, 485
o, 450
p, 142
q, 12
r, 375
s, 467
t, 412
u, 174
v, 75
w, 118
x, 24
y, 131
z, 3
