a, 740
b, 34
c, 217
d, 388
e, 689
f, 60
g, 63
h, 13
i, 417
j, 8
l, 154
m, 249
n, 380
o, 667
p, 183
q, 50
r, 369
s, 502
t, 344
u, 191
v, 112
x, 23
z, 32
à, 8
á, 10
â, 3
ã, 78
ç, 83
é, 16
ê, 9
í, 19
ó, 4
ô, 2
õ, 20
ú, 3
